Ensayo,Piso,Tabique,Punto,Posición,Designacion,1,2,3,4,5,6,7,8,9,Media,Lecturas Válidas,Media lect válidas,Coef. Corr. Ángulo,Coef. Corr. Calibracion,Índice escler.
69,PP,4,5,Abajo,PP-4-5,52,48,50,48,48,46,48,48,48,48.44444444,9,48.44444444,0,0,48.44444444
70,PP,4,6,Arriba,PP-4-6,42,40,44,40,44,46,40,42,46,42.66666667,9,42.66666667,0,0,42.66666667
71,PP,4,7,Arriba,PP-4-7,50,50,52,52,52,50,50,51,50,50.77777778,9,50.77777778,0,0,50.77777778
72,PP,4,8,Arriba,PP-4-8,56,52,50,52,54,50,52,54,52,52.44444444,9,52.44444444,0,0,52.44444444
73,PP,4,9,Arriba,PP-4-9,50,52,54,50,52,48,46,54,50,50.66666667,9,50.66666667,0,0,50.66666667
74,PP,4,10,Arriba,PP-4-10,52,49,51,54,54,52,54,52,50,52,9,52,0,0,52
75,PP,5,1,Abajo,PP-5-1,40,44,40,38,48,42,42,46,42,42.44444444,8,41.75,0,0,41.75
76,PP,5,2,Abajo,PP-5-2,50,48,48,46,48,46,40,48,44,46.44444444,8,47.25,0,0,47.25
77,PP,5,3,Abajo,PP-5-3,45,42,48,46,45,50,48,46,44,46,9,46,0,0,46
78,PP,5,4,Abajo,PP-5-4,50,50,44,40,50,48,46,42,48,46.44444444,8,47.25,0,0,47.25
79,PP,5,5,Abajo,PP-5-5,50,50,52,50,50,52,50,44,54,50.22222222,8,51,0,0,51
80,PP,5,6,Arriba,PP-5-6,46,44,40,38,44,46,40,44,42,42.66666667,9,42.66666667,0,0,42.66666667
81,PP,5,7,Arriba,PP-5-7,52,46,50,50,46,50,50,52,52,49.77777778,9,49.77777778,0,0,49.77777778
82,PP,5,8,Arriba,PP-5-8,48,52,52,51,49,52,50,50,50,50.44444444,9,50.44444444,0,0,50.44444444
83,PP,5,9,Arriba,PP-5-9,48,48,49,46,52,50,50,50,54,49.66666667,9,49.66666667,0,0,49.66666667
84,PP,5,10,Arriba,PP-5-10,50,48,51,48,48,44,54,50,48,49,7,49,0,0,49
85,PP,7,1,Abajo,PP-7-1,40,40,42,42,40,42,40,46,42,41.55555556,9,41.55555556,0,0,41.55555556
86,PP,7,2,Abajo,PP-7-2,40,40,41,42,42,42,42,44,46,42.11111111,9,42.11111111,0,0,42.11111111
87,PP,7,3,Abajo,PP-7-3,44,42,45,38,42,42,40,44,44,42.33333333,9,42.33333333,0,0,42.33333333
88,PP,7,4,Abajo,PP-7-4,42,42,42,41,40,42,42,42,42,41.66666667,9,41.66666667,0,0,41.66666667
89,PP,7,5,Abajo,PP-7-5,42,42,42,42,42,42,40,40,40,41.33333333,9,41.33333333,0,0,41.33333333
90,PP,7,6,Arriba,PP-7-6,42,39,39,42,39,40,43,42,42,40.88888889,9,40.88888889,0,0,40.88888889
91,PP,7,7,Arriba,PP-7-7,40,44,40,42,43,44,43,44,44,42.66666667,9,42.66666667,0,0,42.66666667
92,PP,7,8,Arriba,PP-7-8,42,43,43,42,42,44,43,43,44,42.88888889,9,42.88888889,0,0,42.88888889
93,PP,7,9,Arriba,PP-7-9,48,42,40,44,44,42,40,42,43,42.77777778,8,42.125,0,0,42.125
94,PP,7,10,Arriba,PP-7-10,40,42,42,43,44,42,40,40,40,41.44444444,9,41.44444444,0,0,41.44444444
95,PP,8,1,Abajo,PP-8-1,44,42,46,40,44,44,44,48,42,43.77777778,9,43.77777778,0,0,43.77777778
96,PP,8,2,Abajo,PP-8-2,46,42,48,42,43,43,50,49,40,44.77777778,8,44.125,0,0,44.125
97,PP,8,3,Abajo,PP-8-3,46,44,48,48,44,44,46,40,42,44.66666667,9,44.66666667,0,0,44.66666667
98,PP,8,4,Abajo,PP-8-4,44,42,46,46,40,44,40,48,44,43.77777778,9,43.77777778,0,0,43.77777778
99,PP,8,5,Abajo,PP-8-5,42,44,44,42,44,43,42,47,44,43.55555556,9,43.55555556,0,0,43.55555556
100,PP,8,6,Arriba,PP-8-6,43,43,46,43,42,44,40,40,43,42.66666667,9,42.66666667,0,0,42.66666667
101,PP,8,7,Arriba,PP-8-7,50,44,46,44,46,40,43,46,47,45.11111111,8,45.75,0,0,45.75
102,PP,8,8,Arriba,PP-8-8,46,44,48,44,48,44,44,44,45,45.22222222,9,45.22222222,0,0,45.22222222
103,PP,8,9,Arriba,PP-8-9,45,50,40,45,45,45,48,49,46,45.88888889,8,46.625,0,0,46.625
104,PP,8,10,Arriba,PP-8-10,44,46,42,42,42,46,45,46,42,43.88888889,9,43.88888889,0,0,43.88888889
105,PP,1,1,Abajo,PP-1-1,48,48,48,42,48,48,44,50,48,47.11111111,8,47.75,0,0,47.75
106,PP,1,2,Abajo,PP-1-2,50,48,52,52,50,50,49,50,52,50.33333333,9,50.33333333,0,0,50.33333333
107,PP,1,3,Arriba,PP-1-3,48,45,50,49,46,48,47,46,44,47,9,47,0,0,47
108,PP,1,4,Arriba,PP-1-4,50,52,50,45,48,49,46,46,49,48.33333333,9,48.33333333,0,0,48.33333333
109,PP,2,1,Abajo,PP-2-1,52,51,52,54,52,52,52,52,54,52.33333333,9,52.33333333,0,0,52.33333333
110,PP,2,2,Abajo,PP-2-2,52,50,52,47,48,50,48,49,50,49.55555556,9,49.55555556,0,0,49.55555556
111,PP,2,3,Abajo,PP-2-3,44,50,50,50,48,50,50,48,50,48.88888889,9,48.88888889,0,0,48.88888889
112,PP,2,4,Abajo,PP-2-4,44,40,42,44,50,50,50,44,42,45.11111111,8,45.75,0,0,45.75
113,PP,2,5,Arriba,PP-2-5,50,56,54,48,54,52,54,50,52,52.22222222,9,52.22222222,0,0,52.22222222
114,PP,2,6,Arriba,PP-2-6,44,43,50,46,46,49,46,46,54,47.11111111,8,46.25,0,0,46.25
115,PP,2,7,Arriba,PP-2-7,47,52,50,46,48,53,48,50,46,48.88888889,9,48.88888889,0,0,48.88888889
116,PP,2,8,Arriba,PP-2-8,46,52,48,50,46,46,44,46,47,47.22222222,9,47.22222222,0,0,47.22222222
117,1SS,4,1,Abajo,1SS-4-1,47,46,46,47,44,42,49,47,44,45.77777778,9,45.77777778,0,0,45.77777778
118,1SS,4,2,Abajo,1SS-4-2,47,48,46,50,44,48,51,46,49,47.66666667,9,47.66666667,0,0,47.66666667
119,1SS,4,3,Abajo,1SS-4-3,40,46,44,50,49,48,52,50,40,46.55555556,6,47.83333333,0,0,47.83333333
120,1SS,4,4,Abajo,1SS-4-4,41,51,45,53,44,52,53,54,50,49.22222222,7,51.14285714,0,0,51.14285714
121,1SS,4,5,Abajo,1SS-4-5,50,48,46,44,46,44,50,46,44,46.44444444,9,46.44444444,0,0,46.44444444
122,1SS,4,6,Arriba,1SS-4-6,48,49,47,50,48,48,47,48,48,48.11111111,9,48.11111111,0,0,48.11111111
123,1SS,4,7,Arriba,1SS-4-7,47,45,50,49,49,46,48,48,47,47.66666667,9,47.66666667,0,0,47.66666667
124,1SS,4,8,Arriba,1SS-4-8,43,49,47,50,43,51,48,52,54,48.55555556,6,49.5,0,0,49.5
125,1SS,4,9,Arriba,1SS-4-9,46,44,47,46,50,42,47,47,45,46,9,46,0,0,46
126,1SS,4,10,Arriba,1SS-4-10,50,47,40,46,47,44,48,42,44,45.33333333,8,46,0,0,46
127,1SS,5,1,Abajo,1SS-5-1,48,50,48,46,52,47,52,52,54,49.88888889,9,49.88888889,0,0,49.88888889
128,1SS,5,2,Abajo,1SS-5-2,40,32,48,42,45,46,43,39,46,42.33333333,7,43,0,0,43
129,1SS,5,3,Abajo,1SS-5-3,53,52,51,48,46,45,48,50,49,49.11111111,9,49.11111111,0,0,49.11111111
130,1SS,5,4,Abajo,1SS-5-4,50,50,52,50,51,50,52,51,50,50.66666667,9,50.66666667,0,0,50.66666667
131,1SS,5,5,Abajo,1SS-5-5,54,52,52,48,53,54,42,54,53,51.33333333,8,52.5,0,0,52.5
132,1SS,5,6,Arriba,1SS-5-6,48,49,51,48,47,46,44,43,47,47,9,47,0,0,47
133,1SS,5,7,Arriba,1SS-5-7,49,48,47,50,48,46,47,48,47,47.77777778,9,47.77777778,0,0,47.77777778
134,1SS,5,8,Arriba,1SS-5-8,45,48,50,47,46,46,49,49,46,47.33333333,9,47.33333333,0,0,47.33333333
135,1SS,5,9,Arriba,1SS-5-9,45,45,47,45,46,46,50,46,47,46.33333333,9,46.33333333,0,0,46.33333333
136,1SS,5,10,Arriba,1SS-5-10,48,46,48,47,50,49,49,50,48,48.33333333,9,48.33333333,0,0,48.33333333
137,1SS,7,1,Abajo,1SS-7-1,42,37,40,46,44,44,43,40,46,42.44444444,8,43.125,0,0,43.125
138,1SS,7,2,Abajo,1SS-7-2,40,43,46,42,41,45,41,44,50,43.55555556,8,42.75,0,0,42.75
139,1SS,7,3,Abajo,1SS-7-3,48,49,43,47,42,43,43,44,47,45.11111111,9,45.11111111,0,0,45.11111111
140,1SS,7,4,Abajo,1SS-7-4,47,44,45,42,43,48,43,43,47,44.66666667,9,44.66666667,0,0,44.66666667
141,1SS,7,5,Abajo,1SS-7-5,47,45,43,41,49,45,45,43,46,44.88888889,9,44.88888889,0,0,44.88888889
142,1SS,7,6,Arriba,1SS-7-6,48,52,48,49,49,50,50,48,52,49.55555556,9,49.55555556,0,0,49.55555556
143,1SS,7,7,Arriba,1SS-7-7,49,50,52,52,52,52,49,53,47,50.66666667,9,50.66666667,0,0,50.66666667
144,1SS,7,8,Arriba,1SS-7-8,44,47,51,45,45,47,42,46,47,46,8,45.375,0,0,45.375
145,1SS,7,9,Arriba,1SS-7-9,46,48,48,42,46,46,43,46,41,45.11111111,9,45.11111111,0,0,45.11111111
146,1SS,7,10,Arriba,1SS-7-10,46,48,46,47,46,44,45,47,47,46.22222222,9,46.22222222,0,0,46.22222222
147,1SS,8,1,Abajo,1SS-8-1,45,48,48,45,44,49,46,46,48,46.55555556,9,46.55555556,0,0,46.55555556
148,1SS,8,2,Abajo,1SS-8-2,45,43,45,47,46,46,47,45,48,45.77777778,9,45.77777778,0,0,45.77777778
149,1SS,8,3,Abajo,1SS-8-3,46,46,44,46,48,50,45,49,49,47,9,47,0,0,47
150,1SS,8,4,Abajo,1SS-8-4,43,46,47,46,46,50,47,47,47,46.55555556,9,46.55555556,0,0,46.55555556
151,1SS,8,5,Abajo,1SS-8-5,48,44,46,46,48,42,44,44,46,45.33333333,9,45.33333333,0,0,45.33333333
152,1SS,8,6,Arriba,1SS-8-6,52,52,50,52,52,51,47,53,51,51.11111111,9,51.11111111,0,0,51.11111111
153,1SS,8,7,Arriba,1SS-8-7,49,42,49,42,51,45,52,50,47,47.44444444,7,49,0,0,49
154,1SS,8,8,Arriba,1SS-8-8,44,45,43,50,49,50,45,49,45,46.66666667,9,46.66666667,0,0,46.66666667
155,1SS,8,9,Arriba,1SS-8-9,50,45,49,46,43,47,46,46,49,46.77777778,9,46.77777778,0,0,46.77777778
156,1SS,8,10,Arriba,1SS-8-10,46,42,44,42,45,44,44,48,44,44.33333333,9,44.33333333,0,0,44.33333333
157,1SS,1,1,Abajo,1SS-1-1,46,48,44,40,44,48,44,48,43,45,8,45.625,0,0,45.625
158,1SS,1,2,Abajo,1SS-1-2,45,43,46,47,43,43,46,48,47,45.33333333,9,45.33333333,0,0,45.33333333
159,1SS,1,3,Abajo,1SS-1-3,47,46,44,44,46,48,44,49,43,45.66666667,9,45.66666667,0,0,45.66666667
160,1SS,1,4,Abajo,1SS-1-4,51,40,48,48,47,51,51,47,49,48,8,49,0,0,49
161,1SS,1,5,Arriba,1SS-1-5,38,48,48,46,46,40,48,47,46,45.22222222,7,47,0,0,47
162,1SS,1,6,Arriba,1SS-1-6,44,42,45,50,43,44,42,44,48,44.66666667,8,44,0,0,44
163,1SS,1,7,Arriba,1SS-1-7,48,48,52,48,48,46,50,46,51,48.55555556,9,48.55555556,0,0,48.55555556
164,1SS,1,8,Arriba,1SS-1-8,44,50,49,48,48,49,49,48,51,48.44444444,9,48.44444444,0,0,48.44444444
165,1SS,2,1,Abajo,1SS-2-1,47,43,46,48,51,5,48,51,52,43.44444444,5,46.4,0,0,46.4
166,1SS,2,2,Abajo,1SS-2-2,51,51,54,50,54,51,49,49,50,51,9,51,0,0,51
167,1SS,2,3,Abajo,1SS-2-3,46,40,44,44,50,47,48,46,45,45.55555556,8,46.25,0,0,46.25
168,1SS,2,4,Abajo,1SS-2-4,49,48,45,45,44,51,47,46,44,46.55555556,9,46.55555556,0,0,46.55555556
169,1SS,2,5,Arriba,1SS-2-5,48,52,44,52,47,53,51,52,48,49.66666667,8,50.375,0,0,50.375
170,1SS,2,6,Arriba,1SS-2-6,50,51,50,53,54,51,53,48,52,51.33333333,9,51.33333333,0,0,51.33333333
171,1SS,2,7,Arriba,1SS-2-7,52,48,46,47,48,48,46,48,48,47.88888889,9,47.88888889,0,0,47.88888889
172,1SS,2,8,Arriba,1SS-2-8,42,44,46,46,49,45,44,48,45,45.44444444,9,45.44444444,0,0,45.44444444
173,2SS,4,1,Abajo,2SS-4-1,44,45,46,46,44,42,44,45,44,44.44444444,9,44.44444444,0,0,44.44444444
174,2SS,4,2,Abajo,2SS-4-2,46,44,44,46,46,45,44,42,45,44.66666667,9,44.66666667,0,0,44.66666667
175,2SS,4,3,Abajo,2SS-4-3,42,44,45,44,44,44,42,44,42,43.44444444,9,43.44444444,0,0,43.44444444
176,2SS,4,4,Abajo,2SS-4-4,44,42,44,46,47,44,44,44,43,44.22222222,9,44.22222222,0,0,44.22222222
177,2SS,4,5,Abajo,2SS-4-5,46,44,46,40,42,44,45,43,42,43.55555556,9,43.55555556,0,0,43.55555556
178,2SS,4,6,Arriba,2SS-4-6,46,44,45,45,44,42,42,43,45,44,9,44,0,0,44
179,2SS,4,7,Arriba,2SS-4-7,44,45,44,44,43,44,40,45,46,43.88888889,9,43.88888889,0,0,43.88888889
180,2SS,4,8,Arriba,2SS-4-8,46,44,42,46,47,47,43,45,44,44.88888889,9,44.88888889,0,0,44.88888889
181,2SS,4,9,Arriba,2SS-4-9,44,50,43,44,46,44,44,42,43,44.44444444,8,43.75,0,0,43.75
182,2SS,4,10,Arriba,2SS-4-10,44,43,42,43,45,43,45,44,43,43.55555556,9,43.55555556,0,0,43.55555556
183,2SS,5,1,Abajo,2SS-5-1,50,50,50,52,48,46,48,50,49,49.22222222,9,49.22222222,0,0,49.22222222
184,2SS,5,2,Abajo,2SS-5-2,40,42,42,42,42,43,42,42,44,42.11111111,9,42.11111111,0,0,42.11111111
185,2SS,5,3,Abajo,2SS-5-3,40,42,41,41,40,40,40,40,40,40.44444444,9,40.44444444,0,0,40.44444444
186,2SS,5,4,Abajo,2SS-5-4,40,43,42,40,42,40,38,40,40,40.55555556,9,40.55555556,0,0,40.55555556
187,2SS,5,5,Abajo,2SS-5-5,43,44,44,42,40,40,39,40,42,41.55555556,9,41.55555556,0,0,41.55555556
188,2SS,5,6,Arriba,2SS-5-6,48,50,54,50,48,50,50,49,54,50.33333333,9,50.33333333,0,0,50.33333333
189,2SS,5,7,Arriba,2SS-5-7,40,40,38,40,41,41,42,42,41,40.55555556,9,40.55555556,0,0,40.55555556
190,2SS,5,8,Arriba,2SS-5-8,42,42,41,42,42,42,40,42,43,41.77777778,9,41.77777778,0,0,41.77777778
